x,y
オリックス,O
の,O
吉田,O
正,O
尚,O
外野,O
手,O
が,O
29,O
日,O
、,O
契約,O
更改,O
交渉,O
を,O
行い,O
1,B-MONEY
億,I-MONEY
1500,I-MONEY
万,I-MONEY
円,I-MONEY
アップ,O
の,O
年俸,O
2,B-MONEY
億,I-MONEY
円,I-MONEY
で,O
サイン,O
し,O
た,O
（,O
金額,O
は,O
推定,O
）,O
。,O
,O
入団,O
5,O
年,O
目,O
の,O
年俸,O
2,I-MONEY
億,I-MONEY
円,I-MONEY
は,O
当時,O
、,O
1,B-MONEY
億,I-MONEY
6000,I-MONEY
万,I-MONEY
円,I-MONEY
だっ,O
た,O
イチロー,O
を,O
超え,O
球団,O
最高,O
額,O
と,O
なっ,O
た,O
。,O
,O
イチロー,O
は,O
4,O
年,O
目,O
に,O
8000,B-MONEY
万,I-MONEY
円,I-MONEY
、,O
5,O
年,O
目,O
に,O
1,B-MONEY
億,I-MONEY
6000,I-MONEY
万,I-MONEY
円,I-MONEY
で,O
更改,O
。,O
吉田,O
正,O
は,O
今季,O
年俸,O
8500,B-MONEY
万,I-MONEY
円,I-MONEY
から,O
2,O
倍,O
以上,O
と,O
なる,O
2,B-MONEY
億,I-MONEY
円,I-MONEY
で,O
サイン,O
し,O
た,O
。,O
,O
日本人,O
トップ,O
は,O
ヤンキース,O
の,O
田中,O
で,O
2200,B-MONEY
万,I-MONEY
ドル,I-MONEY
（,O
約,O
23,B-MONEY
億,I-MONEY
6000,I-MONEY
万,I-MONEY
円,I-MONEY
）,O
。,O
楽天,O
で,O
シーズン,O
24,O
勝,O
0,O
敗,O
という,O
凄まじい,O
実績,O
を,O
引っ提げ,O
て,O
メジャー,O
に,O
挑戦,O
。,O
,O
日本ハム,O
の,O
上,O
沢,O
直之,O
投手,O
（,O
25,O
）,O
が,O
29,O
日,O
、,O
札幌,O
市内,O
の,O
球団,O
事務所,O
で,O
契約,O
更改,O
交渉,O
を,O
行い,O
、,O
1000,B-MONEY
万,I-MONEY
円,I-MONEY
減,O
の,O
6000,B-MONEY
万,I-MONEY
円,I-MONEY
プラス,O
出来高,O
払い,O
で,O
サイン,O
し,O
た,O
。,O
,O
当時,O
の,O
MLB,O
史上,O
5,O
位,O
と,O
なる,O
7,O
年,O
総額,O
1,B-MONEY
億,I-MONEY
5500,I-MONEY
万,I-MONEY
ドル,I-MONEY
の,O
契約,O
を,O
結び,O
、,O
今季,O
が,O
6,O
年,O
目,O
と,O
なる,O
。,O
,O
2,O
位,O
は,O
カブス,O
の,O
ダルビッシュ,O
有,O
投手,O
。,O
2012,O
年,O
に,O
日本ハム,O
から,O
レンジャーズ,O
に,O
移籍,O
する,O
と,O
、,O
2017,O
年,O
オフ,O
に,O
FA,O
と,O
なり,O
カブス,O
と,O
6,O
年,O
総額,O
1,B-MONEY
億,I-MONEY
2600,I-MONEY
万,I-MONEY
ドル,I-MONEY
を,O
結ん,O
だ,O
。,O
,O
今季,O
が,O
2,O
年,O
目,O
で,O
、,O
3,O
年,O
目,O
の,O
来季,O
は,O
2200,B-MONEY
万,I-MONEY
ドル,I-MONEY
（,O
約,O
23,B-MONEY
億,I-MONEY
6000,I-MONEY
万,I-MONEY
円,I-MONEY
）,O
と,O
なる,O
。,O
,O
今季,O
から,O
メジャー,O
に,O
挑戦,O
し,O
た,O
菊池,O
は,O
最大,O
7,O
年,O
で,O
1,B-MONEY
億,I-MONEY
900,I-MONEY
万,I-MONEY
ドル,I-MONEY
と,O
なる,O
契約,O
。,O
ただ,O
、,O
ベース,O
は,O
3,O
年,O
4300,B-MONEY
万,I-MONEY
ドル,I-MONEY
で,O
、,O
その後,O
は,O
球団,O
、,O
菊池,O
双方,O
が,O
オプション,O
を,O
を,O
持っ,O
て,O
いる,O
。,O
,O
1,O
年,O
目,O
の,O
年俸,O
は,O
800,B-MONEY
万,I-MONEY
ドル,I-MONEY
（,O
約,O
8,B-MONEY
億,I-MONEY
5000,I-MONEY
万,I-MONEY
円,I-MONEY
）,O
と,O
なっ,O
て,O
いる,O
。,O
,O
平野,O
は,O
2017,O
年,O
オフ,O
に,O
2,O
年,O
600,B-MONEY
万,I-MONEY
ドル,I-MONEY
（,O
約,O
6,B-MONEY
億,I-MONEY
4000,I-MONEY
万,I-MONEY
円,I-MONEY
）,O
で,O
オリックス,O
から,O
ダイヤモンド,O
バックス,O
へ,O
移籍,O
。,O
,O
日本ハム,O
の,O
上原,O
健太,O
投手,O
が,O
29,O
日,O
、,O
札幌,O
の,O
球団,O
事務所,O
で,O
契約,O
更改,O
し,O
、,O
現状,O
維持,O
の,O
1700,B-MONEY
万,I-MONEY
円,I-MONEY
で,O
サイン,O
し,O
た,O
（,O
金額,O
は,O
推定,O
）,O
。,O
,O
吉川,O
4000,B-MONEY
万,I-MONEY
円,I-MONEY
減,O
、,O
宮西,O
は,O
現状,O
維持,O
、,O
公文,O
